Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2022-02-13,I'm Thinking of Ending Things,2020,https://boxd.it/2zBNFn,5,Yes,Should I be concerned that this is my comfort movie,,2022-02-12
2022-02-14,Tall Girl 2,2022,https://boxd.it/2zVoW9,1,,This movie has nothing to do with her being tall,,2022-02-13
2022-02-14,Licorice Pizza,2021,https://boxd.it/2zXKxp,3,,This fifteen year old definitely does cocaine,saw in theatres,2022-02-13
2022-02-15,Murder on the Orient Express,2017,https://boxd.it/2Aa8v7,2,,Smiling Friends did it better,,2022-02-15
2022-02-16,A Cuphead Cartoon,2017,,3.5,,The official cuphead show better be this good,,2022-02-16
2022-02-17,Spider-Man: No Way Home,2021,https://boxd.it/2AqUhf,3.5,Yes,We all owe Andrew Garfield an apology,,2022-02-16
2022-02-19,Marry Me,2022,https://boxd.it/2ALRmN,1.5,,Half this movie is Instagram live feed,saw in theatres,2022-02-18
2022-02-19,Werewolves Within,2021,https://boxd.it/2APbkt,2.5,,The real werewolf was society,,2022-02-18
2022-02-20,Death on the Nile,2022,https://boxd.it/2B1Hhv,2,,Gal Gadot’s best role is lying motionless,saw in theatres,2022-02-19
2022-02-21,The Lost Daughter,2021,https://boxd.it/2B7Yid,3,,Really weird American Girl Doll commercial,,2022-02-20
2022-02-22,Uncharted,2022,https://boxd.it/2Bs939,2,,Should’ve been Nathan Fillian,saw in theatres,2022-02-21
2022-02-23,Space Chimps,2008,https://boxd.it/2BEBG3,1.5,,You ever just write stuff to hit the word count,,2022-02-23
2022-02-24,The Cursed,2021,https://boxd.it/2BOhbz,1.5,,Somebody just had a few 1800 sets lying around,saw in theatres,2022-02-23
2022-02-25,The Power of the Dog,2021,https://boxd.it/2BXygf,3.5,Yes,Love story between an edgelord cowboy and his psycopathic nephew,,2022-02-25
2022-02-26,Space Chimps 2: Zartog Strikes Back,2010,https://boxd.it/2C6lcR,0.5,,This is the closest I've ever gotten to doing drugs,,2022-03-12
2022-02-26,Flee,2021,https://boxd.it/2C8exH,3,,Take notes animatic youtubers,,2022-02-26
2022-02-27,Dog,2022,https://boxd.it/2CfUfp,2.5,,Channing Tatum was the dog the whole time,saw in theatres,2022-02-26
2022-02-28,Studio 666,2022,https://boxd.it/2CtPgv,2,,I hope the foo fighters at least have fun,,2022-02-27
2022-03-03,"Goodbye, Dragon Inn",2003,https://boxd.it/2CU3aj,2,,Wow! Sure wish something happened!,saw in theatres,2022-03-02
2022-03-03,Coming to America,1988,https://boxd.it/2CYIgb,2.5,,Remember when movies just had songs about their plots,,2022-03-03
2022-03-04,The Batman,2022,https://boxd.it/2D7vsV,3.5,,Every DC movie not in the DCEU really slaps huh,saw in theatres,2022-03-03
